workstation	1	0	android0	2	4	android1	0	0
workstation	1	0	android1	2	4	android0	0	0
workstation	1	2	android0	3	4	android1	0	0
workstation	1	2	android1	3	4	android0	0	0
android0	1	0	workstation	2	4	android1	0	0
android0	1	0	android1	2	4	workstation	0	0
android0	1	2	workstation	3	4	android1	0	0
android0	1	2	android1	3	4	workstation	0	0
android0	1	3	workstation	4	0	android1	0	0
android0	1	3	android1	4	0	workstation	0	0
android1	1	0	workstation	2	4	android0	0	0
android1	1	0	android0	2	4	workstation	0	0
android1	1	2	workstation	3	4	android0	0	0
android1	1	2	android0	3	4	workstation	0	0
android1	1	3	workstation	4	0	android0	0	0
android1	1	3	android0	4	0	workstation	0	0
